Akazienholzboot,Acacia Boat,acacia_boat,%ID1%
Kette,Chain,chain,%ID877%
Weinender Obsidian,Crying Obsidian,crying_obsidian,%ID878%
Seelenanker,Respawn Anchor,respawn_anchor,%ID879%
Leitstein,Lodestone,lodestone,%ID880%
Pilzlicht,Shroomlight,shroomlight,%ID881%
Zielblock,Target,target,%ID882%
Seelenlaterne,Soul Latern,soul_latern,%ID883%
Seelenfackel,Soul Torch,soul_torch,%ID884%
Seelenlagerfeuer,Soul Campfire,soul_campfire,%ID885%
Lena Raine,Pigstep,music_disc_pigstep,%ID886%
Wirrpilzrute,Warped Fungus on a Stick,warped_fungus_on_a_stick,%ID887%
Netherithelm,Netherite_Helmet,netherite_helmet,%ID888%
Netheritharnisch,Netherite Chestplate,netherite_chestplate,%ID889%
Netheritbeinschutz,Netherite Leggings,netherite_leggings,%ID890%
Netheritstiefel,Netherite Boots,netherite_boots,%ID891%
Netheritschaufel,Netherite Shovel,netherite_shovel,%ID892%
Netheritspitzhacke,Netherite Pickaxe,netherite_pickaxe,%ID893%
Netheritaxt,Netherite Axe,netherite_axe,%ID894%
Netherithacke,Netherite Hoe,netherite_hoe,%ID895%
Netheritschwert,Netherite Sword,netherite_sword,%ID896%
Kleine Amethystknospe,Small Amethyst Bud,small_amthyst_bud,%ID897%
Mittlere Amethystknospe,Medium Amethyst Bud,medium_amethyst_bud,%ID898%
Großer Amethystknospe,Large Amethyst Bud,large_amethyst_bud,%ID899%
Amethysthaufen,Amethyst Cluster,amethyst_cluster,%ID900%
Amethystscherbe,Amethyst Shard,amethyst_shard,%ID901%
Kalzit,Calcite,calcite,%ID902%
Glatter Basalt,Smooth Basalt,smooth_basalt,%ID903%
Amethystblock,Block of Amethyst,amethyst_block,%ID904%
Amethystknospenblock,Budding Amethyst,budding_amethyst,%ID905%
Leuchtbeeren,Glow Berries,glow_berries,%ID906%
Kleines Tropfblatt,Small Dripleaf,small_dripleaf,%ID907%
Großes Tropfblatt,Big Dripleaf,big_dripleaf,%ID908%
Hängende Wurzeln,Hanging Roots,hanging_roots,%ID909%
Sporenblüte,Spore Blossom,spore_blossom,%ID910%
Moosteppich,Moss Carpet,moss_carpet,%ID911%
Wurzelerde,Rooted Dirt,rooted_dirt,%ID912%
Moosblock,Moss Block,moss_block,%ID913%
Azalee,Azalea,azalea,%ID914%
Blühende Azalee,Flowering Azalea,flowering_azalea,%ID915%
Azaleenlaub,Azalea Leaves,azalea_leaves,%ID916%
Blühendes Azaleenlaub,Flowering Azalea Leaves,flowering_azalea_leaves,%ID917%
Leuchtflechte,Glow Lichen,glow_lichen,%ID918%
Tropfsteinblock,Dripstone Block,dripstone_block,%ID919%
Spitzer Tropfstein,Pointed Dripstone,pointed_dripstone,%ID920%
Axolotleimer,Bucket of Axolotl,axolotl_bucket,%ID921%
Kupferblock,Copper Block,copper_block,%ID922%
Gewachster Kupferblock,Waxed Copper Block,waxed_copper_block,%ID923%
Angelaufener Kupferblock,Exposed Copper,exposed_copper,%ID924%
Gewachster angelaufener Kupferblock,Waxed Exposed Copper,waxed_exposed_copper,%ID925%
Verwitterter Kupferblock,Weathered Copper,weathered_copper,%ID926%
Gewachster verwitterter Kupferblock,Waxed Weatherd Copper,waxed_weathered_copper,%ID927%
Oxidierter Kupferblock,Oxidised Copper,oxidized_copper,%ID928%
Gewachster oxidierter Kupferblock,Waxed Oxidised Copper,waxed_oxidized_copper,%ID929%
Geschnittener Kupferblock,Cut Copper,cut_copper,%ID930%
Gewachster geschnittener Kupferblock,Waxed Cut Copper,waxed_cut_copper,%ID931%
Geschnittene Kupfertreppe,Cut Copper Stairs,cut_copper_stairs,%ID932%
Gewachste geschnittene Kupfertreppe,Waxed Cut Copper Stairs,waxed_cut_copper_stairs,%ID933%
Lapislazuli,Lapis Lazuli,lapis_lazuli,%ID394%
Geschnittene Kupferstufe,Cut Copper Slab,cut_copper_slab,%ID934%
Gewachste geschnittene Kupferstufe,Waxed Cut Copper Slab,waxed_cut_copper_slab,%ID935%
Lapislazulierz,Lapis Lazuli Ore,lapis_ore,%ID395%
Angelaufener geschnittener Kupferblock,Exposed Cut Copper,exposed_cut_copper,%ID936%
Angelaufene geschnittene Kupfertreppe,Exposed Cut Copper Stairs,exposed_cut_copper_stairs,%ID937%
Gewachste angelaufene geschnittene Kupferstufe,Waxed Exposed Cut Copper Stairs,waxed_exposed_cut_copper_slab,%ID938%
Angelaufene geschnittene Kupferstufe,Exposed Cut Copper Slab,exposed_cut_copper_slab,%ID939%
Verwitterte geschnittene Kupferstufe,Waxed Exposed Cut Copper Slab,weathered_cut_copper_slab,%ID940%
Verwitterter geschnittener Kupferblock,Weathered Cut Copper,weathered_cut_copper,%ID941%
Gewachster verwitterter geschnittener Kupferblock,Waxed Weathered Cut Copper,waxed_weathered_cut_copper,%ID942%
Verwitterte geschnittene Kupfertreppe,Weathered Cut Copper Stairs,weathered_cut_copper_stairs,%ID943%
Gewachste verwitterte geschnittene Kupfertreppe,Waxed Weathered Cut Copper Stairs,waxed_weathered_cut_copper_stairs,%ID944%
Gewachster angelaufener geschnittener Kupferblock,Waxed Exposed Cu Copper,waxed_exposed_cut_copper,%ID945%
Gewachste verwitterte geschnittene Kupferstufe,Waxed Weathered Cut Copper Slab,waxed_weathered_cut_copper_slab,%ID946%
Oxidierter geschnittener Kupferblock,Oxidised Cut Copper,oxidized_cut_copper,%ID947%
Gewachster oxidierter geschnittener Kupferblock,Waxed Oxidised Cut Copper,waxed_oxidized_cut_copper,%ID948%
Oxidierte geschnittene Kupfertreppe,Oxidised Cut Copper Stairs,oxidized_cut_copper_stairs,%ID949%
Gewachste oxidierte geschnittene Kupfertreppe,Waxed Oxidised Cut Copper Stairs,waxed_oxidized_cut_copper_stairs,%ID950%
Oxidierte geschnittene Kupferstufe,Oxidised Cut Copper Slab,oxidized_cut_copper_slab,%ID951%
Gewachste oxidierte geschnittene Kupferstufe,Waxed Oxidised Cut Copper Slab,waxed_oxidized_cut_copper_slab,%ID952%
Kupferbarren,Copper Ingot,copper_ingot,%ID953%
Kupfererz,Copper Ore,copper_ore,%ID954%
Tiefenschiefer-Kupfererz,Deepslate Copper Ore,deepslate_copper_ore,%ID955%
Rohgold,Raw Gold,raw_gold,%ID956%
Roheisen,Raw Iron,raw_iron,%ID957%
Rohkupfer,Raw Copper,raw_copper,%ID958%
Rohkupferblock,Block of Raw Copper,raw_copper_block,%ID959%
Rohgoldblock,Block of Raw Gold,raw_gold_block,%ID960%
Roheisenblock,Block of Raw Iron,raw_iron_block,%ID961%
Tiefenschiefer-Golderz,Deepslate gold Ore,deepslate_gold_ore,%ID962%
Tiefenschiefer-Eisenerz,Deepslate Iron Ore,deepslate_iron_ore,%ID963%
Tiefenschiefer-Redstone-Erz,Deepslate Redstone Ore,deepslate_redstone_ore,%ID964%
Tiefenschiefer-Smaragderz,Deepslate Emerald Ore,deepslate_emerald_ore,%ID965%
Tiefenschiefer-Lapislazulierz,Deepslate Lapis Ore,deepslate_lapis_ore,%ID966%
Tiefenschiefer-Diamanterz,Deepslate Diamond Ore,deepslate_diamond_ore,%ID967%
Tiefenschiefer-Steinkohle,Deepslate Coal Ore,deepslate_coal_ore,%ID968%
Fernrohr,Spyglass,spyglass,%ID969%
Blitzableiter,Lightning Rod,lightning_rod,%ID970%
Getöntes Glas,Tinted Glass,tinted_glass,%ID971%
Tiefenschiefer,Deepslate,deepslate,%ID972%
Bruchtiefenschiefer,Cobbled Deepslate,cobbled_deepslate,%ID973%
Polierter Tiefenschiefer,Polished deepslate,polished_deepslate,%ID974%
Tuffstein,Tuff,tuff,%ID975%
Tiefenschieferziegel,Deepslate Bricks,deepslate_bricks,%ID976%
Rissige Tiefenschieferziegel,Cracked Deepslate Bricks,cracked_deepslate_bricks,%ID977%
Tiefenschieferfliesen,Deepslate Tiles,deepslate_tiles,%ID978%
Rissige Tiefenschieferfliesen,Cracked Deepslate Tiles,cracked_deepslate_tiles,%ID979%
Gemeißelter Tiefenschiefer,Chiseled Deepslate,chiseled_deepslate,%ID980%
Bruchtiefenschiefermauer,Cobbled Deepslate Wall,cobbled_deepslate_wall,%ID981%
Polierte Tiefenschiefermauer,Polished Deepslate Wall,polished_deepslate_wall,%ID982%
Tiefenschieferziegelmauer,Deepslate Brick Wall,deepslate_brick_wall,%ID983%
Tiefenschieferfliesenmauer,Deepslate Tile Wall,deepslate_tile_wall,%ID984%
Bruchtiefenschiefertreppe,Cobbled deepslate Stairs,cobbled_deepslate_stairs,%ID985%
Polierte Tiefenschiefertreppe,Polished Deepslate Stairs,polished_deepslate_stairs,%ID986%
Tiefenschieferziegeltreppe,Deepslate Brick Stairs,deepslate_brick_stairs,%ID987%
Tiefenschieferfliesentreppe,Deepslate Tile Stairs,deepslate_tile_stairs,%ID988%
Bruchtiefenschieferstufe,Cobbled Deepslate Slab,cobbled_deepslate_slab,%ID989%
Polierte Tiefenschieferstufe,Polished Deepslate Slab,polished_deepslate_slab,%ID990%
Tiefenschieferziegelstufe,Deepslate Brick Slab,deepslate_brick_slab,%ID991%
Tiefenschieferfliesenstufe,Deepslate Tile Slab,deepslate_tile_slab,%ID992%
Befallener Tiefenschiefer,Infested Deepslate,infested_deepslate,%ID993%
Kerze,Candle,candle,%ID994%
Weiße Kerze,White Candle,white_candle,%ID995%
Orange Kerze,Orange Candle,orange_candle,%ID996%
Magenta Kerze,Magenta Candle,magenta_candle,%ID997%
Hellblaue Kerze,Light Blue Candle,light_blue_candle,%ID998%
Gelbe Kerze,Yellow Candle,yellow_candle,%ID999%
Hellgrüne Kerze,Lime Candle,lime_candle,%ID1000%
Rosa Kerze,Pink Candle,pink_candle,%ID1001%
Graue Kerze,Gray Candle,gray_candle,%ID1002%
Hellgraue Kerze,Light Gray Candle,light_gray_candle,%ID1003%
Türkise Kerze,Cyan Candle,cyan_candle,%ID1004%
Violette Kerze,Purple Candle,purple_candle,%ID1005%
Blaue Kerze,Blue Candle,blue_candle,%ID1006%
Braune Kerze,Brown Candle,brown_candle,%ID1007%
Grüne Kerze,Green Candle,green_candle,%ID1008%
Rote Kerze,Red Candle,red_candle,%ID1009%
Schwarze Kerze,Black Candle,black_candle,%ID1010%
Leuchttintenbeutel,Glow Ink Sac,glow_ink_sac,%ID1011%
Leuchtrahmen,Glow Item Frame,glow_item_frame,%ID1012%
Pulverschneeeimer,Powder Snow Bucket,powder_snow_bucket,%ID1013%
